timestep,total_heat_loss_network,total_pump_power_network
0,4266347.676297021,[222812.04589948      0.        ]
1,4266347.6762948,[222812.04589935      0.        ]
2,4266347.676290987,[222812.04589978      0.        ]
3,4266347.676288495,[222812.04589982      0.        ]
4,4267747.85257154,[241236.47643077      0.        ]
5,4267747.852577761,[241236.47643041      0.        ]
6,4267747.85258227,[241236.47643008      0.        ]
7,4267747.8525833,[241236.47642981      0.        ]
8,4268390.299960296,[250552.70491931      0.        ]
9,4268390.299961772,[250552.70491942      0.        ]
10,4268390.2999603255,[250552.70491943      0.        ]
11,4268390.299954919,[250552.70491955      0.        ]
12,4269995.324523042,[267307.32891194      0.        ]
13,4269995.324527624,[267307.32891277      0.        ]
14,4269995.324519831,[267307.32891221      0.        ]
15,4269995.324511395,[267307.32891162      0.        ]
16,4272193.102278236,[306639.44230679   1845.78720304]
17,4272193.102275449,[306639.44230697   1845.78720306]
18,4272193.102273369,[306639.44230721   1845.78720306]
19,4272193.102275329,[306639.44230693   1845.78720306]
20,4275624.628363543,[442082.45792835  11296.40829134]
21,4275624.6283603525,[442082.45792896  11296.40829142]
22,4275624.6283654515,[442082.45792769  11296.40829128]
23,4275624.62836468,[442082.45792826  11296.40829135]
24,4275447.858238174,[412079.15368158   8911.82910694]
25,4275447.858238014,[412079.15368155   8911.82910691]
26,4275447.858237845,[412079.15368151   8911.82910691]
27,4275447.858244019,[412079.15368009   8911.82910678]
28,4274366.892572676,[382895.33928589   6716.15161523]
29,4274366.892577749,[382895.33928453   6716.15161511]
30,4274366.892578056,[382895.33928442   6716.1516151 ]
31,4274366.892580081,[382895.339284     6716.15161506]
32,4275878.258445462,[442056.87173918  11379.35193557]
33,4275878.258447285,[442056.87173838  11379.35193551]
34,4275878.258443626,[442056.87173894  11379.35193557]
35,4275878.258447617,[442056.87173853  11379.3519355 ]
36,4281994.524209691,[494526.43657758  15896.76984442]
37,4281994.550740207,[494526.43834642  15896.77026613]
38,4281994.55051243,[494526.43833369  15896.77026255]
39,4281994.550964486,[494526.43835811  15896.77026965]
40,4276974.078254269,[467387.17568192  13607.32989331]
41,4276974.155540264,[467387.17241279  13607.32984306]
42,4276974.155642802,[467387.17241137  13607.32984307]
43,4276974.155650214,[467387.17240937  13607.32984283]
44,4277492.466179858,[467991.16148836  13668.65803595]
45,4277492.4677370805,[467991.16136195  13668.65803869]
46,4277492.467748949,[467991.16135966  13668.65803845]
47,4277492.467752807,[467991.16135854  13668.65803833]
48,4276769.376526989,[403645.20389868   8444.24866088]
49,4276769.362126514,[403645.20432952   8444.24867419]
50,4276769.3620986305,[403645.20433072   8444.24867432]
51,4276769.362099095,[403645.20433043   8444.2486743 ]
52,4327912.651888634,[350017.07538635   4951.5294584 ]
53,4327912.651799196,[350017.075381    4951.5294568]
54,4327912.651739022,[350017.0753756    4951.52945561]
55,4327912.651829622,[350017.07538284   4951.52945736]
56,4331774.754131915,[331917.33761172   3686.54134513]
57,4331774.754137812,[331917.33761183   3686.54134517]
58,4331774.754132611,[331917.33761103   3686.54134511]
59,4331774.754046177,[331917.33761021   3686.54134507]
60,4332570.680463398,[332784.77185105   3711.37038712]
61,4332570.680468911,[332784.77185027   3711.37038706]
62,4332570.680468941,[332784.77185015   3711.37038704]
63,4332570.680462092,[332784.77185119   3711.37038711]
64,4303538.685662603,[226425.90780861      0.        ]
65,4303538.685678977,[226425.90780819      0.        ]
66,4303538.685678686,[226425.90780784      0.        ]
67,4303538.685727009,[226425.90780706      0.        ]
68,4315652.256258076,[257272.68524593      0.        ]
69,4315652.256284999,[257272.68524579      0.        ]
70,4315652.256309635,[257272.6852459      0.       ]
71,4315652.256309832,[257272.68524599      0.        ]
72,4318353.155775113,[259550.15410749      0.        ]
73,4318353.155761942,[259550.15410833      0.        ]
74,4318353.155774715,[259550.1541075      0.       ]
75,4318353.155772083,[259550.15410779      0.        ]
76,4330243.673867476,[288420.99416501      0.        ]
77,4330243.673904226,[288420.99416408      0.        ]
78,4330243.673877956,[288420.9941647      0.       ]
79,4330243.673888836,[288420.99416494      0.        ]
80,4330906.030756761,[286087.92927723      0.        ]
81,4330906.030750199,[286087.92927763      0.        ]
82,4330906.030762945,[286087.92927731      0.        ]
83,4330906.030753228,[286087.92927757      0.        ]
84,4331341.202529098,[270666.99751842      0.        ]
85,4331341.202568232,[270666.99751778      0.        ]
86,4331341.202539793,[270666.99751875      0.        ]
87,4331341.202550123,[270666.99751803      0.        ]
88,4331521.912568354,[270541.5301337      0.       ]
89,4331521.912565408,[270541.53013426      0.        ]
90,4331521.9125662455,[270541.53013387      0.        ]
91,4331521.912563929,[270541.53013418      0.        ]
92,4328899.226472604,[227868.63490612      0.        ]
93,4328899.226476774,[227868.634906      0.      ]
94,4328899.226462984,[227868.63490715      0.        ]
95,4328899.22646814,[227868.63490639      0.        ]
96,4327719.915395878,[226487.4361175      0.       ]
