timestep,total_heat_loss_network,total_pump_power_network
0,4270641.915712287,[223459.40264515      0.        ]
1,4270641.921253854,[223459.40352546      0.        ]
2,4270641.921268185,[223459.40352736      0.        ]
3,4270641.921272298,[223459.40352702      0.        ]
4,4276338.401280047,[242075.83449278      0.        ]
5,4276338.409237884,[242075.83590868      0.        ]
6,4276338.409258523,[242075.83591149      0.        ]
7,4276338.40925703,[242075.83591168      0.        ]
8,4280209.533607391,[251521.69692068      0.        ]
9,4280209.536316021,[251521.69743073      0.        ]
10,4280209.536328004,[251521.69743114      0.        ]
11,4280209.536328621,[251521.69743114      0.        ]
12,4282279.866136788,[2.68560511e+05 9.68731189e+01]
13,4282279.87180707,[2.68560512e+05 9.68731766e+01]
14,4282279.871828778,[2.68560512e+05 9.68731767e+01]
15,4282279.871820415,[2.68560512e+05 9.68731767e+01]
16,4274630.820415706,[307964.29113702   2220.47672895]
17,4274630.828426182,[307964.29320365   2220.47684078]
18,4274630.8284338275,[307964.29320706   2220.47684097]
19,4274630.828431394,[307964.29320757   2220.476841  ]
20,4260133.646952904,[443726.64480888  11834.14724566]
21,4260133.651655414,[443726.64660279  11834.14737958]
22,4260133.651656981,[443726.64660507  11834.14737975]
23,4260133.651654828,[443726.64660537  11834.14737978]
24,4265970.68707271,[413794.51400398   9483.4332933 ]
25,4265970.681807094,[413794.51211902   9483.43316066]
26,4265970.681805719,[413794.51211579   9483.43316042]
27,4265970.681804265,[413794.51211605   9483.43316044]
28,4270515.707116384,[384604.49313839   7277.58429702]
29,4270515.701564428,[384604.49129332   7277.58417534]
30,4270515.7015609145,[384604.49128975   7277.58417509]
31,4270515.7015516665,[384604.49129181   7277.58417525]
32,4276587.383761107,[444491.19045613  12274.90164942]
33,4276587.387200574,[444491.19183772  12274.90175011]
34,4276587.38720915,[444491.19183773  12274.9017501 ]
35,4276587.387207462,[444491.19183825  12274.90175014]
36,4283004.456960388,[497439.27928391  17119.68492576]
37,4283004.458775168,[497439.28013421  17119.68499159]
38,4283004.458773322,[497439.28013618  17119.68499176]
39,4283004.458774388,[497439.28013518  17119.68499167]
40,4284056.068794842,[470302.40383584  14780.77976579]
41,4284056.064941606,[470302.40214222  14780.77963871]
42,4284056.064945143,[470302.4021387   14780.77963842]
43,4284056.064939685,[470302.40213992  14780.77963853]
44,4282298.314717337,[470792.00960056  14803.62014019]
45,4282298.316763028,[470792.01049005  14803.62020716]
46,4282298.316761565,[470792.01049249  14803.62020737]
47,4282298.316759511,[470792.01049291  14803.6202074 ]
48,4276743.021101743,[405636.85212863   9189.53518115]
49,4276743.017538938,[405636.85084934   9189.53509325]
50,4276743.017535352,[405636.85084786   9189.53509315]
51,4276743.017538213,[405636.85084756   9189.53509312]
52,4269728.4504160425,[349025.18221052   4786.2833496 ]
53,4269728.445867709,[349025.18086771   4786.28326742]
54,4269728.445866412,[349025.18086528   4786.28326726]
55,4269728.445871878,[349025.18086387   4786.28326717]
56,4268227.6905755,[330951.29310034   3518.71322645]
57,4268227.682634987,[330951.29091113   3518.71309906]
58,4268227.6826294195,[330951.29090783   3518.71309886]
59,4268227.682629638,[330951.29090791   3518.71309887]
60,4266780.959516206,[331794.91509658   3527.85381341]
61,4266780.961318634,[331794.91559624   3527.85384256]
62,4266780.961324139,[331794.91559614   3527.85384255]
63,4266780.961324642,[331794.91559596   3527.85384254]
64,4231606.826032277,[226670.73045563      0.        ]
65,4231606.814980618,[226670.72883781      0.        ]
66,4231606.814959699,[226670.72883475      0.        ]
67,4231606.814959493,[226670.72883471      0.        ]
68,4238516.644907068,[257423.8420997      0.       ]
69,4238516.655741984,[257423.84396547      0.        ]
70,4238516.655756677,[257423.84396893      0.        ]
71,4238516.655758171,[257423.84396871      0.        ]
72,4239920.974205346,[259674.97397173      0.        ]
73,4239920.973774519,[259674.97389579      0.        ]
74,4239920.973776004,[259674.97389582      0.        ]
75,4239920.973774877,[259674.97389577      0.        ]
76,4248325.148084555,[288275.94576845      0.        ]
77,4248325.154517189,[288275.94707886      0.        ]
78,4248325.1545209335,[288275.94708122      0.        ]
79,4248325.15452229,[288275.94708107      0.        ]
80,4249602.357937807,[285960.37348921      0.        ]
81,4249602.352379089,[285960.37236152      0.        ]
82,4249602.352372126,[285960.37235967      0.        ]
83,4249602.352371836,[285960.37235986      0.        ]
84,4250419.121568184,[270639.45118226      0.        ]
85,4250419.114821474,[270639.44989812      0.        ]
86,4250419.11480871,[270639.44989598      0.        ]
87,4250419.114808096,[270639.44989617      0.        ]
88,4255015.294944861,[270530.26029304      0.        ]
89,4255015.292008947,[270530.25973004      0.        ]
90,4255015.292008065,[270530.25972833      0.        ]
91,4255015.292010607,[270530.25972841      0.        ]
92,4267461.403636449,[228160.55924812      0.        ]
93,4267461.377486608,[228160.55499241      0.        ]
94,4267461.377424649,[228160.55498273      0.        ]
95,4267461.377421445,[228160.55498304      0.        ]
96,4272129.480927042,[226820.9210005      0.       ]
