timestep,total_heat_loss_network,total_pump_power_network
0,4830994.803500365,[92569.51447901     0.        ]
1,3867392.597352736,[507935.97817652  13198.93265764]
2,4608106.789505437,[111895.53119365      0.        ]
3,4596482.461858418,[113129.96390365      0.        ]
4,4602450.391703838,[120322.64074747      0.        ]
5,4596854.533213026,[120975.85012136      0.        ]
6,4567615.211907881,[124510.43660242      0.        ]
7,4548628.133356263,[126921.51496914      0.        ]
8,4552736.051968607,[130532.91754302      0.        ]
9,4562271.689506271,[129265.77320228      0.        ]
10,4554172.634391305,[130340.84658903      0.        ]
11,4538472.490765548,[132478.2509657      0.       ]
12,4540410.491825002,[139603.7055598      0.       ]
13,4520428.059927648,[142647.83370448      0.        ]
14,4500912.87270808,[145742.97355703      0.        ]
15,4504877.909822311,[145109.93836355      0.        ]
16,4475944.588485016,[167790.518502      0.      ]
17,4484784.83517952,[166115.92719354      0.        ]
18,4506040.083399873,[162184.95392978      0.        ]
19,4515455.120340971,[160518.63038558      0.        ]
20,4527185.125523765,[211870.46877325      0.        ]
21,4516720.289445171,[214414.03685396      0.        ]
22,4548744.34600392,[206811.44290348      0.        ]
23,4557425.324593205,[204844.15966852      0.        ]
24,4532931.484357902,[198620.50501859      0.        ]
