timestep,total_heat_loss_network,total_pump_power_network
0,4593236.103612441,[112089.9477054      0.       ]
1,4588213.555179287,[112627.16941796      0.        ]
2,4607070.486176452,[110636.43521973      0.        ]
3,4595454.558133671,[111854.25548581      0.        ]
4,4601410.507197236,[118828.38041616      0.        ]
5,4595814.053643954,[119471.07204913      0.        ]
6,4566576.523022095,[122948.08878229      0.        ]
7,4547590.029912622,[125319.41279872      0.        ]
8,4551702.091003926,[128771.25428742      0.        ]
9,4561237.326201633,[127526.40281706      0.        ]
10,4553139.1299067605,[128582.33787478      0.        ]
11,4537440.662789589,[130681.51952953      0.        ]
12,4539055.439101309,[137571.51397041      0.        ]
13,4519375.331324997,[140617.8435084      0.       ]
14,4499858.490347562,[143649.10619816      0.        ]
15,4503823.403883188,[143028.27613552      0.        ]
16,4474964.682294738,[165555.94203346      0.        ]
17,4483886.800437992,[163903.43827418      0.        ]
18,4505198.175205596,[160041.21926157      0.        ]
19,4514449.7740255445,[158431.11423027      0.        ]
20,4526352.879438797,[209518.05218379      0.        ]
21,4515885.117967122,[212021.39036404      0.        ]
22,4547913.071064073,[204538.95893906      0.        ]
23,4556601.799258588,[202603.40811724      0.        ]
24,4532051.283714241,[196228.20099355      0.        ]
25,4532061.3836376425,[196225.98653018      0.        ]
26,4533919.517309985,[195815.24498152      0.        ]
27,4501890.275202545,[203068.07337382      0.        ]
28,4550118.986261565,[181083.49640682      0.        ]
29,4532455.603328764,[184614.74680492      0.        ]
30,4520200.284057404,[187155.68221486      0.        ]
31,4499205.4775085095,[191687.51662502      0.        ]
32,4471437.191495755,[219315.73979441      0.        ]
33,4497029.362624479,[212568.3637673      0.       ]
34,4476983.6638256665,[217819.55743291      0.        ]
35,4452304.374246689,[224651.28650125      0.        ]
36,4443775.463911112,[245293.03783436      0.        ]
37,4467823.853850365,[237686.27235321      0.        ]
38,4461539.495421741,[239627.86070153      0.        ]
39,4501625.87052937,[227741.56530938      0.        ]
40,4487498.693200402,[222104.82454209      0.        ]
41,4502833.004764482,[217937.55891067      0.        ]
42,4491340.402615334,[221043.92585155      0.        ]
43,4483870.945375622,[223114.291606      0.      ]
44,4476119.274191541,[225996.3209676      0.       ]
45,4486475.512339775,[223085.02693242      0.        ]
46,4469295.04094924,[227958.96351144      0.        ]
47,4482489.364948056,[224196.98639964      0.        ]
48,4480147.598629135,[202648.50571948      0.        ]
49,4496984.058404761,[198618.9094183      0.       ]
50,4478865.005984539,[202962.38518766      0.        ]
51,4496956.016245465,[198628.46807593      0.        ]
52,4461836.875284966,[186230.59822022      0.        ]
53,4441265.53438959,[190870.04117557      0.        ]
54,4472231.303132543,[183970.01847851      0.        ]
55,4427338.198047816,[194145.4074149      0.       ]
56,4449414.037887227,[181655.27485243      0.        ]
57,4442311.886539625,[183194.50414298      0.        ]
58,4407472.422623979,[191140.20134278      0.        ]
59,4412390.26391376,[189975.81957375      0.        ]
60,4409277.2195776,[191347.8023004      0.       ]
61,4356120.771331941,[204712.06776818      0.        ]
62,4377547.274318934,[199146.2874583      0.       ]
63,4383649.189197383,[197601.1135256      0.       ]
64,4375076.576571285,[143736.13625875      0.        ]
65,4363244.165340088,[145667.88610225      0.        ]
66,4398556.6600363245,[140045.08020886      0.        ]
67,4386084.664571105,[141974.72231972      0.        ]
68,4409634.945379686,[154895.51846719      0.        ]
69,4421919.516930599,[152796.54381527      0.        ]
70,4453690.339967828,[147642.48391858      0.        ]
71,4468237.716022339,[145396.76027776      0.        ]
72,4488620.6485452475,[143362.86921274      0.        ]
73,4481868.833034385,[144367.20029343      0.        ]
74,4449941.722534343,[149295.77018463      0.        ]
75,4439330.555572069,[151008.42171475      0.        ]
76,4463886.727055119,[160697.31271391      0.        ]
77,4478159.950832539,[158229.73717543      0.        ]
78,4487514.713309827,[156666.54766199      0.        ]
79,4512958.858233271,[152552.20760828      0.        ]
80,4504932.71431724,[152714.47397418      0.        ]
81,4494753.448015182,[154348.01195837      0.        ]
82,4508993.321138547,[152065.8638606      0.       ]
83,4448550.000138191,[162257.58887147      0.        ]
84,4457586.361211619,[153122.23405414      0.        ]
85,4461634.765662204,[152451.83216906      0.        ]
86,4470247.297452106,[151047.89439778      0.        ]
87,4452872.460811418,[153924.56772389      0.        ]
88,4433739.960941713,[157007.49242375      0.        ]
89,4476770.529708329,[149742.51082973      0.        ]
90,4487724.253151026,[147993.06147014      0.        ]
91,4475622.126624165,[149927.23054317      0.        ]
92,4474409.604824941,[128936.73781804      0.        ]
93,4445841.108475464,[133024.38011534      0.        ]
94,4434789.895058302,[134669.8658735      0.       ]
95,4426498.209270547,[135931.84271938      0.        ]
96,4420837.970233318,[136018.3502542      0.       ]
