timestep,total_heat_loss_network,total_pump_power_network
0,4831176.432402542,[92556.51951021     0.        ]
1,4819606.414528006,[93391.75657747     0.        ]
2,4808670.654798169,[94195.21898211     0.        ]
3,4797702.9424314145,[95015.03979808     0.        ]
4,4289481.998742613,[174127.70054428      0.        ]
5,4094363.7304542977,[245833.3298117      0.       ]
6,4096236.800733657,[244835.83844309      0.        ]
7,4095975.304066149,[244972.12870044      0.        ]
8,4098616.003099028,[254941.58193604      0.        ]
9,4098465.2260733675,[255029.04108988      0.        ]
10,4098340.0270012864,[255099.779233      0.      ]
11,4098227.602239816,[255163.43699983      0.        ]
12,4099788.546020241,[273388.54569291    387.29537844]
13,4099690.6377540193,[273457.96248577    390.82745377]
14,4099599.766239784,[273520.31996311    394.00446666]
15,4099517.833702155,[273576.40716861    396.86297893]
16,4094146.080607943,[313355.82311248   2597.71377408]
17,4094073.5695455563,[313415.71746819   2601.29045991]
18,4094007.091139321,[313469.23281789   2604.48941646]
19,4093947.0219743154,[313517.30381177   2607.3637968 ]
20,4083778.3671214795,[450843.3136313   12492.73783528]
21,4083722.6086659837,[450911.49983879  12498.27072799]
22,4083673.5519316294,[450972.09044943  12503.18805302]
23,4083629.1605290743,[451026.47488882  12507.60289593]
24,4097965.1621103706,[409902.64837126   9270.46710567]
