timestep,total_heat_loss_network,total_pump_power_network
0,4656097.7504035365,[114003.20215662      0.        ]
1,4652223.299231205,[114553.08173485      0.        ]
2,4666768.500732202,[112515.574121      0.      ]
3,4657811.74442302,[113761.95266204      0.        ]
4,4664654.355579486,[121055.48866293      0.        ]
5,4660335.998034473,[121714.85935441      0.        ]
6,4637766.733125375,[125282.54161279      0.        ]
7,4623086.67008693,[127715.97088477      0.        ]
8,4628420.106305315,[131459.65210195      0.        ]
9,4635994.65745644,[130194.15873685      0.        ]
10,4629722.691543971,[131280.1411063      0.       ]
11,4617599.898481432,[133438.09401364      0.        ]
12,4619713.687185719,[140599.69334163      0.        ]
13,4604152.073444377,[143661.38751723      0.        ]
14,4589011.2887805365,[146774.12443101      0.        ]
15,4592072.087207201,[146132.9713543      0.       ]
16,4566602.102361658,[168859.09521025      0.        ]
17,4573590.193128317,[167179.72020981      0.        ]
18,4590119.591964387,[163209.9113872      0.       ]
19,4597383.6943459045,[161544.82806106      0.        ]
20,4601088.274675288,[213021.76201979      0.        ]
21,4592984.282624255,[215589.04161392      0.        ]
22,4617754.235116151,[207917.38072941      0.        ]
23,4624465.946707624,[205933.15032211      0.        ]
24,4607723.358915895,[199788.19883748      0.        ]
