timestep,total_heat_loss_network,total_pump_power_network
0,823613.0232081251,[113922.80192614      0.        ]
1,822712.8178695006,[114471.41234457      0.        ]
2,826093.0265764297,[112438.61537448      0.        ]
3,824010.6899929754,[113682.12228591      0.        ]
4,825079.9381345606,[120972.32703323      0.        ]
5,824076.9378665476,[121630.17527528      0.        ]
6,818835.5279315042,[125189.98345991      0.        ]
7,815431.954433473,[127618.48438827      0.        ]
8,816167.8322696767,[131302.61061436      0.        ]
9,817877.1555405436,[130025.67624999      0.        ]
10,816425.2915672682,[131109.18061966      0.        ]
11,813610.8244964272,[133263.43623548      0.        ]
12,813966.410833965,[140479.45952209      0.        ]
13,810377.4081884456,[143541.95521288      0.        ]
14,806879.0410108789,[146663.16163424      0.        ]
15,807589.7832226139,[146024.71581166      0.        ]
16,802396.5965531884,[168759.41141729      0.        ]
17,803975.1555900956,[167067.28771672      0.        ]
18,807792.9682199957,[163111.23144776      0.        ]
19,809456.4803407413,[161442.58139861      0.        ]
20,811571.5884812505,[212885.47079896      0.        ]
21,809696.096031551,[215446.61393248      0.        ]
22,815436.4126327378,[207792.7224157      0.       ]
23,816992.7779044857,[205811.5322874      0.       ]
24,812602.7157423828,[199656.68008706      0.        ]
