timestep,total_heat_loss_network,total_pump_power_network
0,4090152.1066835527,[226534.75308033      0.        ]
1,4090152.1155762314,[226534.75552852      0.        ]
2,4090152.115602889,[226534.7555337      0.       ]
3,4090152.115601239,[226534.75553407      0.        ]
4,4094365.329312844,[245833.47587262      0.        ]
5,4094365.334880141,[245833.47761072      0.        ]
6,4094365.3348855884,[245833.47761617      0.        ]
7,4094365.33488998,[245833.47761569      0.        ]
8,4097215.463745913,[255737.64989551      0.        ]
9,4097215.457504278,[255737.6478497      0.       ]
10,4097215.457486988,[255737.64784548      0.        ]
11,4097215.457485645,[255737.64784579      0.        ]
12,4098774.6274323785,[274081.92237258    422.66352374]
13,4098774.617771715,[274081.91849316    422.6633406 ]
14,4098774.6177409017,[274081.91848023    422.66333999]
15,4098774.617745748,[274081.91847962    422.66333995]
16,4093405.490049233,[313950.09409271   2633.26072695]
17,4093405.4950847505,[313950.09637578   2633.26085342]
18,4093405.4950983147,[313950.09637803   2633.26085353]
19,4093405.495096829,[313950.09637844   2633.26085355]
20,4083228.7023630384,[451515.70976443  12547.33442318]
21,4083228.7053814405,[451515.71176887  12547.33457467]
22,4083228.7053799685,[451515.71177162  12547.33457489]
23,4083228.705384068,[451515.71177054  12547.3345748 ]
24,4087418.972705157,[421629.18816652  10165.60150148]
