timestep,total_heat_loss_network,total_pump_power_network
0,4298603.689277158,[223482.29524756      0.        ]
1,4298611.152718914,[223482.24319635      0.        ]
2,4298603.688305977,[223482.29525365      0.        ]
3,4298611.152722899,[223482.24319613      0.        ]
4,4299544.891327501,[242127.28544453      0.        ]
5,4299544.895158665,[242127.28542605      0.        ]
6,4299544.895147319,[242127.28542625      0.        ]
7,4299544.895146852,[242127.28542632      0.        ]
8,4300071.212431467,[251584.93166067      0.        ]
9,4300071.217126105,[251584.93164035      0.        ]
10,4300071.21711152,[251584.93164123      0.        ]
11,4300071.217119321,[251584.93164047      0.        ]
12,4301115.086161053,[2.68800985e+05 9.91728071e+01]
13,4301115.098400903,[2.68800985e+05 9.91728154e+01]
14,4301115.098380977,[2.68800985e+05 9.91728154e+01]
15,4301115.098383882,[2.68800985e+05 9.91728154e+01]
16,4304517.245515619,[308456.58379218   2270.49771864]
17,4304517.246192255,[308456.58379922   2270.49772026]
18,4304517.246189797,[308456.58379911   2270.49772025]
19,4304517.246190175,[308456.58379929   2270.49772026]
20,4309869.0061714435,[444984.81043896  12128.33920145]
21,4309869.004785951,[444984.81040264  12128.33918774]
22,4309869.004786796,[444984.81040254  12128.33918773]
23,4309869.0047822725,[444984.8104031   12128.33918777]
24,4309618.526316909,[414918.23947478   9705.42616539]
25,4309618.524025416,[414918.2394203    9705.42614695]
26,4309618.524021466,[414918.23942171   9705.42614706]
27,4309618.52402287,[414918.23942119   9705.42614702]
28,4307927.162537118,[385534.0246172    7433.54100106]
29,4307927.161383151,[385534.02459275   7433.54099381]
30,4307927.161377084,[385534.02459343   7433.54099386]
31,4307927.161377454,[385534.02459335   7433.54099385]
32,4309730.753108458,[445785.29868058  12511.40830142]
33,4309730.753607406,[445785.29868909  12511.40830596]
34,4309730.753616167,[445785.29868768  12511.40830585]
35,4309730.753611776,[445785.29868821  12511.40830589]
36,4310251.438584718,[499024.44347417  17430.16384825]
37,4310251.437963819,[499024.44337598  17430.16383823]
38,4310251.437965724,[499024.44337539  17430.16383819]
39,4310251.437957189,[499024.4433771   17430.16383833]
40,4309269.512460823,[471677.03201053  15043.52558476]
41,4309269.509309529,[471677.03150275  15043.52553767]
42,4309269.509308212,[471677.03150177  15043.52553758]
43,4309269.509310131,[471677.03150129  15043.52553753]
44,4309961.740512875,[472211.14585609  15072.68601427]
45,4309961.741492867,[472211.14584235  15072.68602361]
46,4309961.74149515,[472211.14584172  15072.68602356]
47,4309961.7414908605,[472211.14584266  15072.68602364]
48,4309250.981310121,[406696.52633955   9368.25441295]
49,4309250.981677712,[406696.52632843   9368.25441487]
50,4309250.981679607,[406696.52632799   9368.25441483]
51,4309250.981680101,[406696.52632808   9368.25441484]
52,4308075.650048745,[349784.02626286   4900.78494569]
53,4308075.646074012,[349784.02620696   4900.78492823]
54,4308075.646074528,[349784.0262077    4900.78492829]
55,4308075.646079331,[349784.02620706   4900.78492824]
56,4307541.964200487,[331614.00869986   3612.47202131]
57,4307541.963299673,[331614.00869088   3612.47201825]
58,4307541.963302646,[331614.00869063   3612.47201824]
59,4307541.96330143,[331614.0086907    3612.47201824]
60,4307565.503380916,[332460.84713547   3625.78443172]
61,4307565.504003638,[332460.84714142   3625.78443384]
62,4307565.5039982945,[332460.84714226   3625.78443389]
63,4307565.503999085,[332460.84714191   3625.78443386]
64,4288802.626223787,[226467.71222116      0.        ]
65,4288802.626102328,[226467.71222315      0.        ]
66,4288802.626143352,[226467.71222207      0.        ]
67,4288802.626173892,[226467.71222203      0.        ]
68,4315073.35204659,[257159.2629918      0.       ]
69,4315073.352048462,[257159.26299195      0.        ]
70,4315073.352049562,[257159.26299177      0.        ]
71,4315073.352039601,[257159.26299219      0.        ]
72,4317826.803154957,[259423.64817369      0.        ]
73,4317826.803149065,[259423.64817364      0.        ]
74,4317826.803155173,[259423.64817358      0.        ]
75,4317826.803151521,[259423.64817379      0.        ]
76,4335279.336216806,[288242.4504094      0.       ]
77,4335279.336227281,[288242.45040903      0.        ]
78,4335279.336225512,[288242.45040907      0.        ]
79,4335279.336236148,[288242.45040859      0.        ]
80,4337653.359617136,[285946.18303866      0.        ]
81,4337653.359608157,[285946.18303887      0.        ]
82,4337653.359612421,[285946.18303882      0.        ]
83,4337653.35961433,[285946.18303869      0.        ]
84,4338309.001783885,[270560.52743989      0.        ]
85,4338309.001764192,[270560.52744097      0.        ]
86,4338309.001774448,[270560.5274404      0.       ]
87,4338309.001778637,[270560.52744022      0.        ]
88,4343705.87907891,[270445.5316132      0.       ]
89,4343705.879072939,[270445.53161348      0.        ]
90,4343705.879073127,[270445.53161394      0.        ]
91,4343705.879077734,[270445.53161338      0.        ]
92,4344415.087024138,[227766.12382469      0.        ]
93,4344415.087023502,[227766.12382458      0.        ]
94,4344415.0870172465,[227766.12382517      0.        ]
95,4344415.087020136,[227766.12382486      0.        ]
96,4345322.277138785,[226377.41517801      0.        ]
