timestep,total_heat_loss_network,total_pump_power_network
0,4594744.74283679,[113922.80192615      0.        ]
1,4589722.707450905,[114471.41234457      0.        ]
2,4608580.102547999,[112438.61537448      0.        ]
3,4596963.232974259,[113682.12228592      0.        ]
4,4602928.31868722,[120972.32703323      0.        ]
5,4597332.8143927455,[121630.17527527      0.        ]
6,4568092.212233613,[125189.98345992      0.        ]
7,4549104.4704229655,[127618.48438827      0.        ]
8,4553209.761042904,[131302.61061439      0.        ]
9,4562745.676444565,[130025.67624999      0.        ]
10,4554646.066348662,[131109.18061963      0.        ]
11,4538944.811737298,[133263.4362355      0.       ]
12,4540928.544885927,[140479.45952207      0.        ]
13,4520906.337159133,[143541.95521285      0.        ]
14,4501389.763544334,[146663.16163422      0.        ]
15,4505354.828384462,[146024.71581167      0.        ]
16,4476383.252565257,[168759.41141728      0.        ]
17,4485189.664838128,[167067.28771672      0.        ]
18,4506488.35004103,[163111.23144778      0.        ]
19,4515768.6957325395,[161442.58139862      0.        ]
20,4527568.390169955,[212885.47079903      0.        ]
21,4517105.455720829,[215446.61393252      0.        ]
22,4549129.341675947,[207792.7224157      0.       ]
23,4557811.940115257,[205811.53228742      0.        ]
24,4533320.808392791,[199656.68008706      0.        ]
