timestep,total_heat_loss_network,total_pump_power_network
0,4272798.08828909,[228290.0631544      0.       ]
1,4272798.088971612,[228290.06326795      0.        ]
2,4272798.088971182,[228290.06326823      0.        ]
3,4272798.088973482,[228290.06326819      0.        ]
4,4278505.338281211,[247922.418362      0.      ]
5,4278505.346070259,[247922.41979494      0.        ]
6,4278505.34607949,[247922.41979875      0.        ]
7,4278505.346075649,[247922.41979924      0.        ]
8,4282364.276337741,[258052.38859749      0.        ]
9,4282364.279064157,[258052.38912618      0.        ]
10,4282364.279069637,[258052.38912723      0.        ]
11,4282364.279068925,[258052.38912716      0.        ]
12,4284416.3089044215,[277067.60502489    598.74257147]
13,4284416.314270091,[277067.60627952    598.74263133]
14,4284416.314282991,[277067.60628166    598.74263143]
15,4284416.314280464,[277067.60628185    598.74263144]
16,4276715.560670027,[317158.61094361   2852.87723987]
17,4276715.568196756,[317158.61296795   2852.87735288]
18,4276715.568207573,[317158.61297109   2852.87735305]
19,4276715.568209618,[317158.61297076   2852.87735303]
20,4261994.351794782,[455655.31737068  12918.94424526]
21,4261994.356306344,[455655.31916569  12918.94438148]
22,4261994.3563085925,[455655.31916722  12918.9443816 ]
23,4261994.356309326,[455655.31916673  12918.94438156]
24,4267918.975701745,[425779.18883669  10520.42121066]
