timestep,total_heat_loss_network,total_pump_power_network
0,4593236.103611324,[112089.94770543      0.        ]
1,4588213.555175809,[112627.169418      0.      ]
2,4607070.48618021,[110636.43521965      0.        ]
3,4595454.558134762,[111854.25548577      0.        ]
4,4601410.507193006,[118828.38041631      0.        ]
5,4595814.053643462,[119471.0720491      0.       ]
6,4566576.523022377,[122948.08878231      0.        ]
7,4547590.029908145,[125319.41279886      0.        ]
8,4551702.0910032615,[128771.2542874      0.       ]
9,4561237.326204792,[127526.40281699      0.        ]
10,4553139.129905492,[128582.3378748      0.       ]
11,4537440.662786247,[130681.51952967      0.        ]
12,4539055.439100694,[137571.51397039      0.        ]
13,4519375.33132281,[140617.84350844      0.        ]
14,4499858.490350702,[143649.10619808      0.        ]
15,4503823.40388594,[143028.27613534      0.        ]
16,4474964.682299768,[165555.94203318      0.        ]
17,4483886.800436273,[163903.4382743      0.       ]
18,4505198.175205051,[160041.21926162      0.        ]
19,4514449.774024654,[158431.11423033      0.        ]
20,4526352.879437155,[209518.05218386      0.        ]
21,4515885.117967751,[212021.39036407      0.        ]
22,4547913.071066929,[204538.95893886      0.        ]
23,4556601.799258163,[202603.40811709      0.        ]
24,4532051.283716637,[196228.20099344      0.        ]
25,4532061.383637388,[196225.98653032      0.        ]
26,4533919.517311172,[195815.2449814      0.       ]
27,4501890.275195717,[203068.07337428      0.        ]
28,4550118.986259359,[181083.49640703      0.        ]
29,4532455.603328334,[184614.74680497      0.        ]
30,4520200.284058757,[187155.68221476      0.        ]
31,4499205.477507503,[191687.51662522      0.        ]
32,4471437.191497321,[219315.73979434      0.        ]
33,4497029.362619304,[212568.36376767      0.        ]
34,4476983.663823247,[217819.55743328      0.        ]
35,4452304.374248083,[224651.28650116      0.        ]
36,4443775.463912468,[245293.03783427      0.        ]
37,4467823.853849967,[237686.27235324      0.        ]
38,4461539.495426173,[239627.86070111      0.        ]
39,4501625.870528484,[227741.56530957      0.        ]
40,4487498.693201956,[222104.82454195      0.        ]
41,4502833.004763226,[217937.55891086      0.        ]
42,4491340.402612672,[221043.92585163      0.        ]
43,4483870.945372522,[223114.29160635      0.        ]
44,4476119.274193017,[225996.32096733      0.        ]
45,4486475.51233936,[223085.02693247      0.        ]
46,4469295.040949983,[227958.96351144      0.        ]
47,4482489.364946308,[224196.98639966      0.        ]
48,4480147.598625294,[202648.50571966      0.        ]
49,4496984.058408717,[198618.90941792      0.        ]
50,4478865.005984625,[202962.3851876      0.       ]
51,4496956.016247775,[198628.4680759      0.       ]
52,4461836.875288843,[186230.59821995      0.        ]
53,4441265.534392091,[190870.04117554      0.        ]
54,4472231.303130623,[183970.01847864      0.        ]
55,4427338.198047492,[194145.40741478      0.        ]
56,4449414.037895089,[181655.27485194      0.        ]
57,4442311.886537982,[183194.50414296      0.        ]
58,4407472.422619354,[191140.20134296      0.        ]
59,4412390.263912019,[189975.81957388      0.        ]
60,4409277.219574675,[191347.80230067      0.        ]
61,4356120.7713298695,[204712.06776833      0.        ]
62,4377547.2743164105,[199146.28745856      0.        ]
63,4383649.189202474,[197601.11352535      0.        ]
64,4375076.576578148,[143736.13625845      0.        ]
65,4363244.16534501,[145667.88610207      0.        ]
66,4398556.660035724,[140045.08020889      0.        ]
67,4386084.6645695,[141974.72231972      0.        ]
68,4409634.945376684,[154895.51846738      0.        ]
69,4421919.516932092,[152796.54381518      0.        ]
70,4453690.339969597,[147642.48391839      0.        ]
71,4468237.716028547,[145396.76027754      0.        ]
72,4488620.648542068,[143362.86921282      0.        ]
73,4481868.833032968,[144367.20029345      0.        ]
74,4449941.722532202,[149295.7701847      0.       ]
75,4439330.555572359,[151008.42171477      0.        ]
76,4463886.727060063,[160697.31271378      0.        ]
77,4478159.950832699,[158229.73717545      0.        ]
78,4487514.71331102,[156666.54766195      0.        ]
79,4512958.858229186,[152552.20760841      0.        ]
80,4504932.714320726,[152714.47397403      0.        ]
81,4494753.448013034,[154348.01195846      0.        ]
82,4508993.321133922,[152065.86386067      0.        ]
83,4448550.000138829,[162257.58887152      0.        ]
84,4457586.361215649,[153122.234054      0.      ]
85,4461634.765667449,[152451.8321689      0.       ]
86,4470247.297455934,[151047.8943976      0.       ]
87,4452872.460812539,[153924.5677238      0.       ]
88,4433739.9609418195,[157007.49242378      0.        ]
89,4476770.529711306,[149742.51082963      0.        ]
90,4487724.253145874,[147993.06147034      0.        ]
91,4475622.126623618,[149927.23054322      0.        ]
92,4474409.604827997,[128936.73781788      0.        ]
93,4445841.10848126,[133024.38011512      0.        ]
94,4434789.895065966,[134669.86587323      0.        ]
95,4426498.209267426,[135931.84271944      0.        ]
96,4420837.970233438,[136018.35025422      0.        ]
