timestep,total_heat_loss_network,total_pump_power_network
0,4612232.929965501,[113922.80192614      0.        ]
1,4607191.780069203,[114471.41234457      0.        ]
2,4626120.948828006,[112438.61537448      0.        ]
3,4614459.863960662,[113682.12228591      0.        ]
4,4620447.653553539,[120972.32703323      0.        ]
5,4614830.852052666,[121630.17527528      0.        ]
6,4585478.956416423,[125189.98345991      0.        ]
7,4566418.944827449,[127618.48438827      0.        ]
8,4570539.86071019,[131302.61061436      0.        ]
9,4580112.071027044,[130025.67624999      0.        ]
10,4571981.632776702,[131109.18061966      0.        ]
11,4556220.617179992,[133263.43623548      0.        ]
12,4558211.900670204,[140479.45952209      0.        ]
13,4538113.485855295,[143541.95521288      0.        ]
14,4518522.629660921,[146663.16163424      0.        ]
15,4522502.786046637,[146024.71581166      0.        ]
16,4493420.940697854,[168759.41141729      0.        ]
17,4502260.871304534,[167067.28771672      0.        ]
18,4523640.622031976,[163111.23144776      0.        ]
19,4532956.289908151,[161442.58139861      0.        ]
20,4544800.895495002,[212885.47079896      0.        ]
21,4534298.137776685,[215446.61393248      0.        ]
22,4566443.910743332,[207792.7224157      0.       ]
23,4575159.556265119,[205811.5322874      0.       ]
24,4550575.208157344,[199656.68008706      0.        ]
