timestep,total_heat_loss_network,total_pump_power_network
0,4656097.7504035365,[114003.20215662      0.        ]
1,4652223.299231205,[114553.08173485      0.        ]
2,4666768.500732202,[112515.574121      0.      ]
3,4657811.74442302,[113761.95266204      0.        ]
4,4664654.355579486,[121055.48866293      0.        ]
5,4660335.998034473,[121714.85935441      0.        ]
6,4637766.733125375,[125282.54161279      0.        ]
7,4623086.67008693,[127715.97088477      0.        ]
8,4628420.106305315,[131459.65210195      0.        ]
9,4635994.65745644,[130194.15873685      0.        ]
10,4629722.691543971,[131280.1411063      0.       ]
11,4617599.898481432,[133438.09401364      0.        ]
12,4619713.687185719,[140599.69334163      0.        ]
13,4604152.073444377,[143661.38751723      0.        ]
14,4589011.2887805365,[146774.12443101      0.        ]
15,4592072.087207201,[146132.9713543      0.       ]
16,4566602.102361658,[168859.09521025      0.        ]
17,4573590.193128317,[167179.72020981      0.        ]
18,4590119.591964387,[163209.9113872      0.       ]
19,4597383.6943459045,[161544.82806106      0.        ]
20,4601088.274675288,[213021.76201979      0.        ]
21,4592984.282624255,[215589.04161392      0.        ]
22,4617754.235116151,[207917.38072941      0.        ]
23,4624465.946707624,[205933.15032211      0.        ]
24,4607723.358915895,[199788.19883748      0.        ]
25,4607731.165967302,[199785.92451904      0.        ]
26,4609170.700947358,[199368.50700349      0.        ]
27,4584394.493498267,[206815.34115536      0.        ]
28,4623473.796948295,[184468.05668124      0.        ]
29,4609848.949231603,[188102.53530665      0.        ]
30,4600362.810412957,[190717.3659755      0.       ]
31,4584099.575450982,[195377.09893089      0.        ]
32,4565012.949680269,[224243.15580258      0.        ]
33,4584848.134721883,[217273.91734231      0.        ]
34,4569310.724168746,[222696.8576586      0.       ]
35,4550168.178056047,[229755.45898885      0.        ]
36,4546025.771630975,[251603.84302671      0.        ]
37,4564744.031226513,[243714.90974754      0.        ]
38,4559854.3431647,[245728.0637534      0.       ]
39,4590959.490590148,[233405.45159295      0.        ]
40,4580358.692753899,[227664.15226366      0.        ]
41,4592253.330545811,[223346.3734934      0.       ]
42,4583340.70623863,[226564.73556252      0.        ]
43,4577546.5411565825,[228710.50167473      0.        ]
44,4570836.360924927,[231606.12618423      0.        ]
45,4578872.168891404,[228589.58366804      0.        ]
46,4565537.209952043,[233639.40111055      0.        ]
47,4575785.546340603,[229742.24349006      0.        ]
48,4571709.099910398,[207167.44955704      0.        ]
49,4584741.647424869,[203007.90017253      0.        ]
50,4570710.867745824,[207490.09163683      0.        ]
51,4584706.841547833,[203019.46194291      0.        ]
52,4554688.03971305,[189904.61206319      0.        ]
53,4538722.877005605,[194680.45642909      0.        ]
54,4562748.797592659,[187582.02490977      0.        ]
55,4527893.526921582,[198050.18692904      0.        ]
56,4544435.345163492,[185154.51684822      0.        ]
57,4538941.039286696,[186733.52912628      0.        ]
58,4511819.512723042,[194901.28548222      0.        ]
59,4515669.094057903,[193704.8981824      0.       ]
60,4512711.157512295,[195012.77271323      0.        ]
61,4470825.361717609,[208747.65465978      0.        ]
62,4487833.770590045,[203028.77721179      0.        ]
63,4492652.605070843,[201440.96428338      0.        ]
64,4472264.557692327,[144910.96242741      0.        ]
65,4463119.2387257945,[146857.73055198      0.        ]
66,4490523.255370463,[141170.24137493      0.        ]
67,4480843.625727147,[143127.47865859      0.        ]
68,4501850.1149229035,[156433.18766007      0.        ]
69,4511346.122608765,[154305.03447548      0.        ]
70,4535922.391028482,[149084.04116858      0.        ]
71,4547227.689769896,[146806.85945439      0.        ]
72,4563568.988878843,[144751.19390466      0.        ]
73,4558424.194755881,[145765.80754501      0.        ]
74,4533769.573761115,[150766.74969954      0.        ]
75,4525455.20800337,[152502.42844347      0.        ]
76,4547787.93635377,[162672.74991108      0.        ]
77,4558857.720628296,[160163.68647029      0.        ]
78,4566062.669785929,[158577.72095504      0.        ]
79,4585805.577673654,[154395.49991424      0.        ]
80,4580060.647327927,[154622.93475019      0.        ]
81,4572194.278256483,[156284.23584058      0.        ]
82,4583159.317237007,[153978.60843482      0.        ]
83,4536399.873046244,[164349.63747419      0.        ]
84,4543830.370970741,[155082.74299576      0.        ]
85,4546936.081852292,[154390.01341514      0.        ]
86,4553530.734453915,[152971.78178578      0.        ]
87,4540089.983145207,[155892.19062964      0.        ]
88,4527053.943141445,[159257.16368888      0.        ]
89,4560465.033663522,[151839.63819262      0.        ]
90,4568848.048965782,[150062.10920506      0.        ]
91,4559593.462991465,[152029.33353624      0.        ]
92,4563655.4534624405,[131151.42626897      0.        ]
93,4541370.479293667,[135326.3873043      0.       ]
94,4532783.663510693,[137006.54980537      0.        ]
95,4526350.629438262,[138299.09828718      0.        ]
96,4520428.126868353,[134519.96785      0.     ]
