timestep,total_heat_loss_network,total_pump_power_network
0,4594744.742837211,[113922.80192614      0.        ]
1,4589722.707450972,[114471.41234457      0.        ]
2,4608580.102548196,[112438.61537448      0.        ]
3,4596963.232974697,[113682.12228591      0.        ]
4,4602928.31868716,[120972.32703323      0.        ]
5,4597332.814392477,[121630.17527528      0.        ]
6,4568092.21223409,[125189.98345991      0.        ]
7,4549104.470422986,[127618.48438827      0.        ]
8,4553209.761043692,[131302.61061436      0.        ]
9,4562745.676444874,[130025.67624999      0.        ]
10,4554646.066348209,[131109.18061966      0.        ]
11,4538944.811738048,[133263.43623548      0.        ]
12,4540928.544885762,[140479.45952209      0.        ]
13,4520906.337158526,[143541.95521288      0.        ]
14,4501389.763543618,[146663.16163424      0.        ]
15,4505354.82838458,[146024.71581166      0.        ]
16,4476383.252564943,[168759.41141729      0.        ]
17,4485189.664838313,[167067.28771672      0.        ]
18,4506488.350041277,[163111.23144776      0.        ]
19,4515768.695732837,[161442.58139861      0.        ]
20,4527568.390170986,[212885.47079896      0.        ]
21,4517105.4557216,[215446.61393248      0.        ]
22,4549129.341675695,[207792.7224157      0.       ]
23,4557811.940115485,[205811.5322874      0.       ]
24,4533320.808392628,[199656.68008706      0.        ]
