timestep,total_heat_loss_network,total_pump_power_network
0,4089050.780653679,[223177.2376583      0.       ]
1,4089050.7933441093,[223177.24114429      0.        ]
2,4089050.793376059,[223177.24115457      0.        ]
3,4089050.793378884,[223177.24115386      0.        ]
4,4093257.780730698,[241773.46495269      0.        ]
5,4093257.7863816055,[241773.46667725      0.        ]
6,4093257.7863989654,[241773.46668108      0.        ]
7,4093257.7863978636,[241773.46668117      0.        ]
8,4096111.4952954594,[251207.80698214      0.        ]
9,4096111.4988779374,[251207.80813312      0.        ]
10,4096111.4988868055,[251207.80813552      0.        ]
11,4096111.4988867724,[251207.80813551      0.        ]
12,4097687.089349875,[2.68194157e+05 7.67350746e+01]
13,4097687.0932428422,[2.68194158e+05 7.67351423e+01]
14,4097687.0932549895,[2.68194158e+05 7.67351424e+01]
15,4097687.093252019,[2.68194158e+05 7.67351424e+01]
16,4092344.824193435,[307568.33593804   2194.96974564]
17,4092344.829465834,[307568.33826304   2194.96987159]
18,4092344.8294762755,[307568.33826671   2194.96987179]
19,4092344.8294770555,[307568.33826639   2194.96987177]
20,4082289.44349447,[443221.91979042  11791.4099565 ]
21,4082289.4466033913,[443221.92180851  11791.41010727]
22,4082289.4466050984,[443221.92181099  11791.41010746]
23,4082289.4466063045,[443221.92181094  11791.41010745]
24,4086433.3553383006,[413308.6389809    9444.28761974]
25,4086433.3516580514,[413308.63674552   9444.28746234]
26,4086433.3516554763,[413308.63674289   9444.28746215]
27,4086433.3516541556,[413308.63674336   9444.28746218]
28,4089575.0164491823,[384139.78391103   7242.11374613]
29,4089575.0125900377,[384139.78172508   7242.11360181]
30,4089575.012590125,[384139.78172176   7242.11360159]
31,4089575.012589939,[384139.78172191   7242.1136016 ]
32,4094057.1001038947,[443959.00090488  12230.65249764]
33,4094057.102693592,[443959.00266762  12230.65262622]
34,4094057.102699013,[443959.00266855  12230.65262628]
35,4094057.1026991066,[443959.00266853  12230.65262627]
36,4098731.74527863,[496845.14012717  17067.58705023]
37,4098731.7459641276,[496845.14066275  17067.5870917 ]
38,4098731.745965266,[496845.14066322  17067.58709173]
39,4098731.7459643465,[496845.14066349  17067.58709176]
40,4099448.858525681,[469732.23794741  14732.11205314]
41,4099448.8558184803,[469732.23593429  14732.11190196]
42,4099448.855815917,[469732.23593133  14732.11190174]
43,4099448.855815294,[469732.2359312   14732.11190173]
44,4098208.6579206926,[470224.42614828  14755.0218202 ]
45,4098208.659167837,[470224.42706941  14755.02188964]
46,4098208.6591674862,[470224.4270703   14755.02188971]
47,4098208.659166178,[470224.42707112  14755.02188978]
48,4094144.8729712334,[405141.69167766   9150.38202024]
49,4094144.8701738077,[405141.68996516   9150.38190243]
50,4094144.8701718706,[405141.68996242   9150.38190224]
51,4094144.8701707455,[405141.68996305   9150.38190229]
52,4089020.7520174473,[348595.7939437    4755.53754189]
53,4089020.746877591,[348595.79135777   4755.53738349]
54,4089020.7468702127,[348595.7913541    4755.53738327]
55,4089020.7468695105,[348595.79135423   4755.53738328]
56,4087906.953840425,[330541.65467871   3490.6079321 ]
57,4087906.9481675685,[330541.65200841   3490.60777656]
58,4087906.9481597366,[330541.65200458   3490.60777634]
59,4087906.948160975,[330541.65200414   3490.60777631]
60,4086871.264651119,[331386.49479435   3499.7772907 ]
61,4086871.265703557,[331386.4952888    3499.77731956]
62,4086871.2657069736,[331386.4952894    3499.77731959]
63,4086871.2657077736,[331386.49528925   3499.77731958]
64,4061247.6386832152,[226417.61191404      0.        ]
65,4061247.629592929,[226417.60963426      0.        ]
66,4061247.6295769643,[226417.60962896      0.        ]
67,4061247.6295782113,[226417.60962896      0.        ]
68,4066377.659406972,[257141.88372459      0.        ]
69,4066377.6671358617,[257141.88599811      0.        ]
70,4066377.6671529496,[257141.88600168      0.        ]
71,4066377.66715306,[257141.88600178      0.        ]
72,4067346.8000281234,[259390.13141212      0.        ]
73,4067346.799708416,[259390.13131782      0.        ]
74,4067346.7997076693,[259390.13131775      0.        ]
75,4067346.7997067557,[259390.13131789      0.        ]
76,4073495.4285342973,[287960.89619731      0.        ]
77,4073495.4333263272,[287960.89787374      0.        ]
78,4073495.4333356544,[287960.89787583      0.        ]
79,4073495.4333365904,[287960.89787591      0.        ]
80,4074411.898739916,[285645.97370724      0.        ]
81,4074411.8949451544,[285645.97238953      0.        ]
82,4074411.8949374403,[285645.97238784      0.        ]
83,4074411.894939635,[285645.97238767      0.        ]
84,4074896.990444217,[270336.70740505      0.        ]
85,4074896.9856476053,[270336.70583641      0.        ]
86,4074896.985630287,[270336.70583482      0.        ]
87,4074896.9856317495,[270336.70583449      0.        ]
88,4078170.4885802176,[270223.51602045      0.        ]
89,4078170.486720938,[270223.51540742      0.        ]
90,4078170.486712754,[270223.51540691      0.        ]
91,4078170.486711225,[270223.51540718      0.        ]
92,4086808.1932967864,[227877.28871429      0.        ]
93,4086808.1760677127,[227877.28388993      0.        ]
94,4086808.176028836,[227877.28387635      0.        ]
95,4086808.1760225785,[227877.283877      0.      ]
96,4090152.1197573217,[226534.75670549      0.        ]
