PIPEVALVE 00000126;2;0.5
PIPEVALVE 00000127;3;0.5
PIPEVALVE 00000128;4;0.5
PIPEVALVE 00000129;7;0.5
PIPEVALVE 00000130;13;0.5
PIPEVALVE 00000131;12;0.5
PIPEVALVE 00000132;18;0.5
PIPEVALVE 00000133;19;0.5
PIPEVALVE 00000134;24;0.5
PIPEVALVE 00000135;27;0.5
PIPEVALVE 00000136;28;0.5
PIPEVALVE 00000137;29;0.5
PIPEVALVE 00000138;38;0.5
PIPEVALVE 00000139;37;0.5
PIPEVALVE 00000140;43;0.5
PIPEVALVE 00000141;42;0.5
PIPEVALVE 00000376;52;0.5
PIPEVALVE 00000377;53;0.5
PIPEVALVE 00000378;57;0.5
PIPEVALVE 00000379;59;0.5
PIPEVALVE 00000380;70;0.5
PIPEVALVE 00000381;71;0.5
PIPEVALVE 00000382;76;0.5
PIPEVALVE 00000383;75;0.5
PIPEVALVE 00000384;81;0.5
PIPEVALVE 00000385;80;0.5
PIPEVALVE 00000386;86;0.5
PIPEVALVE 00000387;85;0.5
PIPEVALVE 00000388;91;0.5
PIPEVALVE 00000389;93;0.5
PIPEVALVE 00000390;98;0.5
PIPEVALVE 00000391;99;0.5
PIPEVALVE 00000392;106;0.5
PIPEVALVE 00000393;107;0.5
PIPEVALVE 00000394;120;0.5
PIPEVALVE 00000395;121;0.5
PIPEVALVE 00000396;130;0.5
PIPEVALVE 00000397;131;0.5
PIPEVALVE 00000398;124;0.5
PIPEVALVE 00000399;133;0.5
PIPEVALVE 00000400;134;0.5
PIPEVALVE 00000401;135;0.5
PIPEVALVE 00000402;138;0.5
PIPEVALVE 00000403;143;0.5
PIPEVALVE 00000406;164;0.5
PIPEVALVE 00000407;165;0.5
PIPEVALVE 00000408;168;0.5
PIPEVALVE 00000409;169;0.5
PIPEVALVE 00000410;178;0.5
PIPEVALVE 00000411;179;0.5
PIPEVALVE 00000412;184;0.5
PIPEVALVE 00000413;183;0.5
PIPEVALVE 00000414;188;0.5
PIPEVALVE 00000415;189;0.5
PIPEVALVE 00000416;198;0.5
PIPEVALVE 00000417;199;0.5
PIPEVALVE 00000418;210;0.5
PIPEVALVE 00000419;213;0.5
PIPEVALVE 00000420;194;0.5
PIPEVALVE 00000421;195;0.5
PIPEVALVE 00000422;220;0.5
PIPEVALVE 00000423;219;0.5
PIPEVALVE 00000424;204;0.5
PIPEVALVE 00000425;223;0.5
PIPEVALVE 00000426;228;0.5
PIPEVALVE 00000427;229;0.5
PIPEVALVE 00000428;234;0.5
PIPEVALVE 00000429;235;0.5
PIPEVALVE 00000430;244;0.5
PIPEVALVE 00000431;245;0.5
PIPEVALVE 00000432;248;0.5
PIPEVALVE 00000433;253;0.5
PIPEVALVE 00000434;258;0.5
PIPEVALVE 00000435;255;0.5
PIPEVALVE 00000436;260;0.5
PIPEVALVE 00000437;263;0.5
PIPEVALVE 00000438;273;0.5
PIPEVALVE 00000439;275;0.5
PIPEVALVE 00000440;278;0.5
PIPEVALVE 00000441;279;0.5
PIPEVALVE 00000442;3090;0.5
PIPEVALVE 00000443;3091;0.5
PIPEVALVE 00000444;289;0.5
PIPEVALVE 00000445;288;0.5
PIPEVALVE 00000446;301;0.5
PIPEVALVE 00000447;303;0.5
PIPEVALVE 00000448;310;0.5
PIPEVALVE 00000449;313;0.5
PIPEVALVE 00000450;318;0.5
PIPEVALVE 00000451;319;0.5
PIPEVALVE 00000452;324;0.5
PIPEVALVE 00000453;323;0.5
PIPEVALVE 00000454;328;0.5
PIPEVALVE 00000455;329;0.5
PIPEVALVE 00000456;330;0.5
PIPEVALVE 00000457;331;0.5
PIPEVALVE 00000460;304;0.5
PIPEVALVE 00000461;305;0.5
PIPEVALVE 00000462;342;0.5
PIPEVALVE 00000463;343;0.5
PIPEVALVE 00000464;350;0.5
PIPEVALVE 00000465;347;0.5
PIPEVALVE 00000466;352;0.5
PIPEVALVE 00000467;357;0.5
PIPEVALVE 00000468;359;0.5
PIPEVALVE 00000469;358;0.5
PIPEVALVE 00000474;370;0.5
PIPEVALVE 00000475;369;0.5
PIPEVALVE 00000476;374;0.5
PIPEVALVE 00000477;375;0.5
PIPEVALVE 00000478;386;0.5
PIPEVALVE 00000479;387;0.5
PIPEVALVE 00000480;390;0.5
PIPEVALVE 00000481;389;0.5
PIPEVALVE 00000482;395;0.5
PIPEVALVE 00000483;394;0.5
PIPEVALVE 00000484;404;0.5
PIPEVALVE 00000485;405;0.5
PIPEVALVE 00000486;410;0.5
PIPEVALVE 00000487;409;0.5
PIPEVALVE 00000488;419;0.5
PIPEVALVE 00000489;421;0.5
PIPEVALVE 00000490;416;0.5
PIPEVALVE 00000491;417;0.5
PIPEVALVE 00000492;399;0.5
PIPEVALVE 00000493;427;0.5
PIPEVALVE 00000494;436;0.5
PIPEVALVE 00000495;429;0.5
PIPEVALVE 00000496;439;0.5
PIPEVALVE 00000497;443;0.5
PIPEVALVE 00000498;450;0.5
PIPEVALVE 00000499;449;0.5
PIPEVALVE 00000500;459;0.5
PIPEVALVE 00000501;460;0.5
PIPEVALVE 00000502;464;0.5
PIPEVALVE 00000503;466;0.5
PIPEVALVE 00000504;475;0.5
PIPEVALVE 00000505;476;0.5
PIPEVALVE 00000506;479;0.5
PIPEVALVE 00000507;480;0.5
PIPEVALVE 00000508;489;0.5
PIPEVALVE 00000509;490;0.5
PIPEVALVE 00000510;491;0.5
PIPEVALVE 00000511;494;0.5
PIPEVALVE 00000512;505;0.5
PIPEVALVE 00000513;504;0.5
PIPEVALVE 00000514;509;0.5
PIPEVALVE 00000515;514;0.5
PIPEVALVE 00000516;519;0.5
PIPEVALVE 00000517;520;0.5
PIPEVALVE 00000518;525;0.5
PIPEVALVE 00000519;526;0.5
PIPEVALVE 00000522;535;0.5
PIPEVALVE 00000523;536;0.5
PIPEVALVE 00000524;541;0.5
PIPEVALVE 00000525;542;0.5
PIPEVALVE 00000526;547;0.5
PIPEVALVE 00000527;550;0.5
PIPEVALVE 00000528;555;0.5
PIPEVALVE 00000529;556;0.5
PIPEVALVE 00000530;561;0.5
PIPEVALVE 00000531;545;0.5
PIPEVALVE 00000532;571;0.5
PIPEVALVE 00000533;570;0.5
PIPEVALVE 00000534;581;0.5
PIPEVALVE 00000535;582;0.5
PIPEVALVE 00000536;585;0.5
PIPEVALVE 00000537;586;0.5
PIPEVALVE 00000538;595;0.5
PIPEVALVE 00000539;596;0.5
PIPEVALVE 00000540;600;0.5
PIPEVALVE 00000541;602;0.5
PIPEVALVE 00000542;605;0.5
PIPEVALVE 00000543;606;0.5
PIPEVALVE 00000544;612;0.5
PIPEVALVE 00000545;603;0.5
PIPEVALVE 00000546;623;0.5
PIPEVALVE 00000547;624;0.5
PIPEVALVE 00000548;625;0.5
PIPEVALVE 00000549;628;0.5
PIPEVALVE 00000550;635;0.5
PIPEVALVE 00000551;636;0.5
PIPEVALVE 00000552;639;0.5
PIPEVALVE 00000553;640;0.5
PIPEVALVE 00000554;649;0.5
PIPEVALVE 00000555;650;0.5
PIPEVALVE 00000556;654;0.5
PIPEVALVE 00000557;653;0.5
PIPEVALVE 00000558;661;0.5
PIPEVALVE 00000559;662;0.5
PIPEVALVE 00000560;665;0.5
PIPEVALVE 00000561;666;0.5
PIPEVALVE 00000562;668;0.5
PIPEVALVE 00000563;670;0.5
PIPEVALVE 00000564;617;0.5
PIPEVALVE 00000565;676;0.5
PIPEVALVE 00000566;3161;0.5
PIPEVALVE 00000567;680;0.5
PIPEVALVE 00000568;638;0.5
PIPEVALVE 00000569;682;0.5
PIPEVALVE 00000570;685;0.5
PIPEVALVE 00000571;629;0.5
PIPEVALVE 00000572;688;0.5
