10226;502.08;1;UFM61ZP31
10227;502.08;-1;UFM61ZP31
10228;502.50;1;UFM61ZP31
10229;502.50;-1;UFM61ZP31
10230;506.67;-1;UFM63ZP04
10231;506.67;1;UFM63ZP04
10232;507.07;1;UFM63ZP04
10233;507.07;-1;UFM63ZP04
10234;507.18;-1;UFM63ZP04
10235;507.18;1;UFM63ZP04
10236;507.21;1;UFM63ZP04
10237;507.21;-1;UFM63ZP04
10238;504.73;1;UFM63ZP03
10239;504.73;-1;UFM63ZP03
10240;503.04;-1;UFM63ZP03
10241;503.04;1;UFM63ZP03
10476;502.08;-1;UFM61ZP31
10477;502.08;1;UFM61ZP31
10478;502.08;1;UFM61ZP31
10479;502.08;-1;UFM61ZP31
10480;502.08;1;UFM61ZP31
10481;502.08;-1;UFM61ZP31
10482;502.08;1;UFM61ZP31
10483;502.08;-1;UFM61ZP31
10484;502.08;-1;UFM61ZP31
10485;502.08;1;UFM61ZP31
10486;502.08;1;UFM61ZP31
10487;502.08;-1;UFM61ZP31
10488;502.50;-1;UFM61ZP31
10489;502.50;1;UFM61ZP31
10490;502.08;1;UFM61ZP31
10491;502.08;-1;UFM61ZP31
10492;502.08;-1;UFM61ZP31
10493;502.08;1;UFM61ZP31
10494;502.50;-1;UFM61ZP31
10495;502.50;1;UFM61ZP31
10496;502.50;1;UFM61ZP31
10497;502.50;-1;UFM61ZP31
10498;502.50;1;UFM61ZP31
10499;502.50;-1;UFM61ZP31
10500;502.50;1;UFM61ZP31
10501;502.50;-1;UFM61ZP31
10502;502.50;-1;UFM61ZP31
10503;502.50;1;UFM61ZP31
10504;502.50;1;UFM61ZP31
10505;502.50;-1;UFM61ZP31
10506;502.50;1;UFM61ZP31
10507;502.50;-1;UFM61ZP31
10508;502.50;-1;UFM61ZP31
10509;502.50;1;UFM61ZP31
10510;502.08;-1;UFM61ZP31
10511;502.08;1;UFM61ZP31
10512;501.23;1;UFM61ZP31
10513;501.23;-1;UFM61ZP31
10514;502.30;-1;UFM61ZP31
10515;502.30;1;UFM61ZP31
10516;504.72;1;UFM61ZP31
10517;504.72;-1;UFM61ZP31
10518;504.72;-1;UFM61ZP31
10519;504.72;1;UFM61ZP31
10520;504.72;-1;UFM61ZP31
10521;504.72;1;UFM61ZP31
10522;504.72;1;UFM61ZP31
10523;504.72;-1;UFM61ZP31
10524;504.72;-1;UFM61ZP31
10525;504.72;1;UFM61ZP31
10526;503.85;1;UFM61ZP31
10527;503.85;-1;UFM61ZP31
10528;504.72;-1;UFM61ZP31
10529;504.72;1;UFM61ZP31
10530;503.85;1;UFM61ZP31
10531;503.85;-1;UFM61ZP31
10534;503.85;1;UFM61ZP31
10535;503.85;-1;UFM61ZP31
10536;503.01;1;UFM61ZP31
10537;503.01;-1;UFM61ZP31
10538;503.21;1;UFM63ZP07
10539;503.21;-1;UFM63ZP07
10540;504.72;1;UFM63ZP07
10541;504.72;-1;UFM63ZP07
10542;503.21;-1;UFM63ZP07
10543;503.21;1;UFM63ZP07
10544;503.21;-1;UFM63ZP07
10545;503.21;1;UFM63ZP07
10546;503.85;-1;UFM63ZP07
10547;503.85;1;UFM63ZP07
10548;503.85;-1;UFM63ZP07
10549;503.85;1;UFM63ZP07
10550;503.85;-1;UFM63ZP07
10551;503.85;1;UFM63ZP07
10552;503.85;1;UFM63ZP07
10553;503.85;-1;UFM63ZP07
10554;503.85;-1;UFM63ZP07
10555;503.85;1;UFM63ZP07
10556;503.85;-1;UFM63ZP07
10557;503.85;1;UFM63ZP07
10560;504.72;1;UFM63ZP07
10561;504.72;-1;UFM63ZP07
10562;504.72;1;UFM63ZP07
10563;504.72;-1;UFM63ZP07
10564;504.72;1;UFM63ZP07
10565;504.72;-1;UFM63ZP07
10566;504.72;1;UFM63ZP07
10567;504.72;-1;UFM63ZP07
10568;503.85;1;UFM63ZP07
10569;503.85;-1;UFM63ZP07
10574;503.01;-1;UFM63ZP06
10575;503.01;1;UFM63ZP06
10576;503.01;1;UFM63ZP06
10577;503.01;-1;UFM63ZP06
10578;503.41;1;UFM63ZP06
10579;503.41;-1;UFM63ZP06
10580;503.92;1;UFM63ZP06
10581;503.92;-1;UFM63ZP06
10582;503.21;-1;UFM63ZP07
10583;503.21;1;UFM63ZP07
10584;503.21;-1;UFM63ZP07
10585;503.21;1;UFM63ZP07
10586;503.46;-1;UFM63ZP06
10587;503.46;1;UFM63ZP06
10588;503.58;-1;UFM63ZP06
10589;503.58;1;UFM63ZP06
10590;503.58;1;UFM63ZP06
10591;503.58;-1;UFM63ZP06
10592;503.21;1;UFM63ZP07
10593;503.21;-1;UFM63ZP07
10594;503.21;1;UFM63ZP07
10595;503.21;-1;UFM63ZP07
10596;503.21;1;UFM63ZP07
10597;503.21;-1;UFM63ZP07
10598;504.19;-1;UFM63ZP06
10599;504.19;1;UFM63ZP06
10600;504.28;1;UFM63ZP06
10601;504.28;-1;UFM63ZP06
10602;504.14;-1;UFM63ZP06
